image,row,col,cluster,e0_gabor000,e0_gabor045,e0_gabor090,e0_gabor135,e0_log,e0_dog,e0_log2,e0_media,e1_gabor000,e1_gabor045,e1_gabor090,e1_gabor135,e1_log,e1_dog,e1_log2,e1_media,e2_gabor000,e2_gabor045,e2_gabor090,e2_gabor135,e2_log,e2_dog,e2_log2,e2_media
01.png,5,5,3,3.97113,1.94603,4.55400,1.83806,4.92229,6.60494,8.07361,196.31226,6.28183,4.32760,6.93024,2.85668,7.55669,6.49258,8.01838,199.32007,3.96706,2.51894,7.59391,3.48141,7.55083,7.38257,11.34686,204.76761
01.png,5,6,4,10.86502,2.03989,3.96191,2.13755,7.56687,7.71640,9.67462,131.87852,14.10788,2.55597,3.77248,2.95819,8.66152,7.48130,7.86925,136.02673,7.29766,3.54789,2.81977,3.20273,8.54798,14.21659,16.88646,146.98474
01.png,5,7,5,4.71878,2.45851,3.30458,2.39825,6.40329,6.37444,8.82419,177.48039,6.96291,4.61463,4.12556,3.61526,8.32450,6.51011,9.08022,178.32669,7.56677,4.77624,3.15198,5.67578,8.42949,7.92756,6.73004,180.25746
01.png,5,8,4,3.66853,1.82921,0.56059,1.50922,4.36551,4.21135,4.88301,201.72517,3.83528,2.20539,1.04318,1.68668,5.02731,8.83812,10.42207,203.87234,8.57008,4.24813,2.38668,3.86716,10.57714,6.72619,14.66408,207.22594
01.png,5,9,5,6.51048,4.61141,6.36570,6.40197,9.69549,8.98989,11.36702,188.04755,5.98646,6.18248,5.24239,6.51072,11.19783,14.21229,18.85277,190.64703,8.86703,13.80936,9.12965,5.91942,18.35861,5.83393,16.86047,195.58945
01.png,5,10,5,6.73480,6.62590,8.56132,7.61055,10.96437,12.20713,15.84376,181.96193,6.61386,7.93095,7.59384,12.17067,15.71962,16.24864,21.93696,184.15170,9.18373,8.78055,17.71255,14.59339,20.28638,5.62172,15.58068,187.34814
01.png,5,11,5,4.63618,3.70752,3.77428,5.39861,6.35604,7.82385,9.88556,224.89156,6.77276,5.24645,6.20256,9.47171,10.09218,8.92358,12.87839,221.87427,13.03727,4.92168,6.94941,13.05512,12.43707,8.81473,16.11203,215.15387
01.png,5,12,5,3.88654,2.89063,3.57576,5.87266,5.88547,7.02066,8.68283,223.82562,5.64392,5.47694,5.02132,5.96894,8.99995,6.83994,11.53135,225.13043,10.48768,9.08315,8.00936,6.18523,11.11819,8.52692,8.87037,226.25916
01.png,5,13,3,5.05381,1.54791,3.10929,2.10788,4.75904,5.74258,6.78520,204.47081,4.60628,2.41751,7.05702,2.96045,6.44359,9.33804,10.89304,206.23608,5.86014,4.76847,8.24108,5.33485,10.90040,6.28396,14.23242,208.30081
01.png,5,14,4,8.56891,1.91867,3.59578,1.47126,6.06219,7.02335,8.15609,185.71814,8.37813,2.78774,5.31361,1.89678,7.53683,7.43621,9.30259,186.52852,6.63865,4.00816,6.72567,3.06122,9.19409,10.44077,14.21780,191.70322
